Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
charles-leclerc-collectible-figurine,Charles Leclerc Collectible Figurine,<p>Collectible hand-painted miniature model of Charles Leclerc in full racing overalls and helmet.</p>,PITWALL,,Driver Figurines,"Figurine, Charles Leclerc, Collectible",true,Scale,1:64,,,,,FIG-164-CHAR,,shopify,80,deny,,1499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/driver_figurine.png,1,,,,,,,,,,,,,,,,,,,,,,,,active
charles-leclerc-collectible-figurine,Charles Leclerc Collectible Figurine,<p>Collectible hand-painted miniature model of Charles Leclerc in full racing overalls and helmet.</p>,PITWALL,,Driver Figurines,"Figurine, Charles Leclerc, Collectible",true,Scale,1:24,,,,,FIG-124-CHAR,,shopify,80,deny,,3499.0,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,active
max-verstappen-1-2-scale-helmet,Max Verstappen 1:2 Scale Replica Helmet,"<p>Full details on this half-scale helmet replica of Max Verstappen racing wear, with opening visor and aero accessories.</p>",PITWALL,,Helmets,"Helmets, Max Verstappen, Replica",true,Title,Default Title,,,,,,,shopify,100,deny,manual,12999.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/verstappen.png,1,Max Verstappen 1:2 Scale Replica Helmet,false,,,,,,,,,,,,,,,,,,,,,,active
max-verstappen-1-18-scale-car,Max Verstappen Red Bull Racing 1:18 Model Car,<p>1:18 Scale premium collector diecast model car featuring driver name details and racing number.</p>,PITWALL,,Car Models,"Car Models, Max Verstappen, Red Bull Racing",true,Title,Default Title,,,,,,,shopify,100,deny,manual,7499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/red.png,1,Max Verstappen Red Bull Racing 1:18 Model Car,false,,,,,,,,,,,,,,,,,,,,,,active
max-verstappen-signature-tshirt,Max Verstappen Signature Graphic T-Shirt,<p>Premium cotton graphic tee styled with modern typography and race elements celebrating Max Verstappen.</p>,PITWALL,,Apparel,"Apparel, Max Verstappen, T-Shirt",true,Title,Default Title,,,,,,,shopify,100,deny,manual,1999.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/logo_new.png,1,Max Verstappen Signature Graphic T-Shirt,false,,,,,,,,,,,,,,,,,,,,,,active
max-verstappen-oracle-red-bull-cap,Max Verstappen Signature Team Cap,<p>Adjustable strap curve bill cap detailed with embroidered branding and the number of Max Verstappen.</p>,PITWALL,,Apparel,"Apparel, Max Verstappen, Cap",true,Title,Default Title,,,,,,,shopify,100,deny,manual,2499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/logo_new.png,1,Max Verstappen Signature Team Cap,false,,,,,,,,,,,,,,,,,,,,,,active
lewis-hamilton-1-2-scale-helmet,Lewis Hamilton 1:2 Scale Replica Helmet,"<p>Full details on this half-scale helmet replica of Lewis Hamilton racing wear, with opening visor and aero accessories.</p>",PITWALL,,Helmets,"Helmets, Lewis Hamilton, Replica",true,Title,Default Title,,,,,,,shopify,100,deny,manual,12999.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/hamilton.png,1,Lewis Hamilton 1:2 Scale Replica Helmet,false,,,,,,,,,,,,,,,,,,,,,,active
lewis-hamilton-1-18-scale-car,Lewis Hamilton Mercedes AMG F1 1:18 Model Car,<p>1:18 Scale premium collector diecast model car featuring driver name details and racing number.</p>,PITWALL,,Car Models,"Car Models, Lewis Hamilton, Mercedes AMG F1",true,Title,Default Title,,,,,,,shopify,100,deny,manual,7499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/mercedes.png,1,Lewis Hamilton Mercedes AMG F1 1:18 Model Car,false,,,,,,,,,,,,,,,,,,,,,,active
lewis-hamilton-44-graphic-tshirt,Lewis Hamilton Signature Graphic T-Shirt,<p>Premium cotton graphic tee styled with modern typography and race elements celebrating Lewis Hamilton.</p>,PITWALL,,Apparel,"Apparel, Lewis Hamilton, T-Shirt",true,Title,Default Title,,,,,,,shopify,100,deny,manual,1999.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/logo_new.png,1,Lewis Hamilton Signature Graphic T-Shirt,false,,,,,,,,,,,,,,,,,,,,,,active
lewis-hamilton-team-cap,Lewis Hamilton Signature Team Cap,<p>Adjustable strap curve bill cap detailed with embroidered branding and the number of Lewis Hamilton.</p>,PITWALL,,Apparel,"Apparel, Lewis Hamilton, Cap",true,Title,Default Title,,,,,,,shopify,100,deny,manual,2499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/logo_new.png,1,Lewis Hamilton Signature Team Cap,false,,,,,,,,,,,,,,,,,,,,,,active
lando-norris-1-2-scale-helmet,Lando Norris 1:2 Scale Replica Helmet,"<p>Full details on this half-scale helmet replica of Lando Norris racing wear, with opening visor and aero accessories.</p>",PITWALL,,Helmets,"Helmets, Lando Norris, Replica",true,Title,Default Title,,,,,,,shopify,100,deny,manual,12999.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/norris.png,1,Lando Norris 1:2 Scale Replica Helmet,false,,,,,,,,,,,,,,,,,,,,,,active
lando-norris-1-18-scale-car,Lando Norris McLaren F1 1:18 Model Car,<p>1:18 Scale premium collector diecast model car featuring driver name details and racing number.</p>,PITWALL,,Car Models,"Car Models, Lando Norris, McLaren F1",true,Title,Default Title,,,,,,,shopify,100,deny,manual,7499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/mclaren.png,1,Lando Norris McLaren F1 1:18 Model Car,false,,,,,,,,,,,,,,,,,,,,,,active
lando-norris-ln4-graphic-tshirt,Lando Norris Signature Graphic T-Shirt,<p>Premium cotton graphic tee styled with modern typography and race elements celebrating Lando Norris.</p>,PITWALL,,Apparel,"Apparel, Lando Norris, T-Shirt",true,Title,Default Title,,,,,,,shopify,100,deny,manual,1999.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/logo_new.png,1,Lando Norris Signature Graphic T-Shirt,false,,,,,,,,,,,,,,,,,,,,,,active
lando-norris-mclaren-cap,Lando Norris Signature Team Cap,<p>Adjustable strap curve bill cap detailed with embroidered branding and the number of Lando Norris.</p>,PITWALL,,Apparel,"Apparel, Lando Norris, Cap",true,Title,Default Title,,,,,,,shopify,100,deny,manual,2499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/logo_new.png,1,Lando Norris Signature Team Cap,false,,,,,,,,,,,,,,,,,,,,,,active
charles-leclerc-1-2-scale-helmet,Charles Leclerc 1:2 Scale Replica Helmet,"<p>Full details on this half-scale helmet replica of Charles Leclerc racing wear, with opening visor and aero accessories.</p>",PITWALL,,Helmets,"Helmets, Charles Leclerc, Replica",true,Title,Default Title,,,,,,,shopify,100,deny,manual,12999.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/leclerc.png,1,Charles Leclerc 1:2 Scale Replica Helmet,false,,,,,,,,,,,,,,,,,,,,,,active
charles-leclerc-1-18-scale-car,Charles Leclerc Scuderia Ferrari 1:18 Model Car,<p>1:18 Scale premium collector diecast model car featuring driver name details and racing number.</p>,PITWALL,,Car Models,"Car Models, Charles Leclerc, Scuderia Ferrari",true,Title,Default Title,,,,,,,shopify,100,deny,manual,7499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/scuderia.png,1,Charles Leclerc Scuderia Ferrari 1:18 Model Car,false,,,,,,,,,,,,,,,,,,,,,,active
charles-leclerc-16-graphic-tshirt,Charles Leclerc Signature Graphic T-Shirt,<p>Premium cotton graphic tee styled with modern typography and race elements celebrating Charles Leclerc.</p>,PITWALL,,Apparel,"Apparel, Charles Leclerc, T-Shirt",true,Title,Default Title,,,,,,,shopify,100,deny,manual,1999.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/logo_new.png,1,Charles Leclerc Signature Graphic T-Shirt,false,,,,,,,,,,,,,,,,,,,,,,active
charles-leclerc-scuderia-ferrari-cap,Charles Leclerc Signature Team Cap,<p>Adjustable strap curve bill cap detailed with embroidered branding and the number of Charles Leclerc.</p>,PITWALL,,Apparel,"Apparel, Charles Leclerc, Cap",true,Title,Default Title,,,,,,,shopify,100,deny,manual,2499.0,,true,true,,https://cdn.shopify.com/s/files/1/0843/9672/0474/files/logo_new.png,1,Charles Leclerc Signature Team Cap,false,,,,,,,,,,,,,,,,,,,,,,active
